坑口(北) (將軍澳醫院) (TK950)	坑口(北) (将军澳医院) (TK950)
大圍轉車站 - 積運街 (TA140)	大围转车站 - 积运街 (TA140)
大圍轉車站 - 積運街 (TA141)	大围转车站 - 积运街 (TA141)
大窩口轉車站-大窩口站 (KW131)	大窝口转车站-大窝口站 (KW131)
大窩口轉車站-大窩口站 (KW132)	大窝口转车站-大窝口站 (KW132)
寶田轉車站 - 盈豐園 (TM580)	宝田转车站 - 盈丰园 (TM580)
寶田轉車站 - 盈豐園 (TM581)	宝田转车站 - 盈丰园 (TM581)
將藍隧道轉車站(A1) (LT551)	将蓝隧道转车站(A1) (LT551)
將藍隧道轉車站(A2) (LT550)	将蓝隧道转车站(A2) (LT550)
尖沙咀轉車站-半島酒店 (YT100)	尖沙咀转车站-半岛酒店 (YT100)
工業貿易大樓，稅務中心 (KA500)	工业贸易大楼，税务中心 (KA500)
廣福道轉車站-寶湖花園 (TP550)	广福道转车站-宝湖花园 (TP550)
彩虹轉車站 - 碧海樓 (WT341)	彩虹转车站 - 碧海楼 (WT341)
彩虹轉車站 - 碧海樓 (WT342)	彩虹转车站 - 碧海楼 (WT342)
彩虹轉車站 - 碧海樓 (WT344)	彩虹转车站 - 碧海楼 (WT344)
彩虹轉車站 - 金碧樓 (WT345)	彩虹转车站 - 金碧楼 (WT345)
彩虹轉車站 - 金碧樓 (WT346)	彩虹转车站 - 金碧楼 (WT346)
彩虹轉車站 - 錦雲樓 (WT370)	彩虹转车站 - 锦云楼 (WT370)
彩虹轉車站 - 錦雲樓 (WT371)	彩虹转车站 - 锦云楼 (WT371)
彩虹轉車站 - 錦雲樓 (WT372)	彩虹转车站 - 锦云楼 (WT372)
浪翠園第一期(落客站) (TW226)	浪翠园第一期(落客站) (TW226)
湖山網球場(悅湖山莊) (TM447)	湖山网球场(悦湖山庄) (TM447)
湖山網球場(悅湖山莊) (TM651)	湖山网球场(悦湖山庄) (TM651)
牛池灣轉車站-牛池灣村 (WT211)	牛池湾转车站-牛池湾村 (WT211)
牛池灣轉車站-牛池灣村 (WT213)	牛池湾转车站-牛池湾村 (WT213)
牛池灣轉車站-牛池灣村 (WT214)	牛池湾转车站-牛池湾村 (WT214)
牛池灣轉車站-牛池灣村 (WT215)	牛池湾转车站-牛池湾村 (WT215)
白田 (北) 巴士總站 (SS600)	白田 (北) 巴士总站 (SS600)
白石凹-古洞北綜合大樓 (ND577)	白石凹-古洞北综合大楼 (ND577)
粉嶺公路轉車站(A3) (TP101)	粉岭公路转车站(A3) (TP101)
粉嶺公路轉車站(A4) (TP100)	粉岭公路转车站(A4) (TP100)
粉嶺站轉車站-粉嶺名都 (ND472)	粉岭站转车站-粉岭名都 (ND472)
粉嶺站轉車站-粉嶺名都 (ND473)	粉岭站转车站-粉岭名都 (ND473)
粉嶺站轉車站-粉嶺名都 (ND474)	粉岭站转车站-粉岭名都 (ND474)
粉嶺站轉車站-蓬瀛仙館 (ND397)	粉岭站转车站-蓬瀛仙馆 (ND397)
粉嶺站轉車站-蓬瀛仙館 (ND398)	粉岭站转车站-蓬瀛仙馆 (ND398)
紅隧轉車站 - 紅磡站 (HH500)	红隧转车站 - 红磡站 (HH500)
落馬洲站 ‧ 福田口岸 (YL991)	落马洲站 · 福田口岸 (YL991)
西隧轉車站 - 雅翔道 (YT300)	西隧转车站 - 雅翔道 (YT300)
西隧轉車站 - 雅翔道 (YT301)	西隧转车站 - 雅翔道 (YT301)
觀塘轉車站-觀塘市中心 (KT346)	观塘转车站-观塘市中心 (KT346)
觀塘轉車站-觀塘市中心 (KT347)	观塘转车站-观塘市中心 (KT347)
觀塘轉車站-觀塘市中心 (KT348)	观塘转车站-观塘市中心 (KT348)
觀塘轉車站-觀塘市中心 (KT349)	观塘转车站-观塘市中心 (KT349)
觀塘轉車站-觀塘市中心 (KT350)	观塘转车站-观塘市中心 (KT350)
